Level_1,Level_2,Level_3
a person work at a place,a person work at a place,tom work at Whataburger
a person work at a place,a person work at a place,A nurse works in a nursing home
a person work at a place,a person work at a place,Kyle works at the movie theater
a person work at a place,a person work at a place,She works at Starbucks
a person work at a place,a person work at a place,Cindy worked at a call center
a person work at a place,a person work at a place,Sal worked at the gas station
a person work at a place,a person work at a place,Fran works at a restaurant
a person work at a place,a person work at a place,tom work at Whataburger
a person work at a place,a person work at a place,The employee works at the laundromat
a person work at a place,a person work at a place,I work at a restaurant
a person work at a place,a person work at a place,Tom works at Whataburger
a person work at a place,a person work at a place,tom work at Whataburger
a person work at a place,a person work at a place,Dan is working at Diary Qqueen
a person work at a place,a person work a workplace,Fred works on a farm
a person work at a place,a person work a place,Kyle worked at the movie theatre
a person work at a place,a person work in a workplace,Pam works in a library
a person work at a place,a person work at a workplace,Shelly's dad worked for a restaurant that sold pies and cakes
a person work at a place,a person work in a place,I work in my yard
a person work at a place,a person work in a place,Jane works in a restaurant
a person work at a place,a person work on the work,I work on the homework
a person work at a place,a person be work on a place,Jack was working on Mturks
a person work at a place,a person be work on a place,Jack was working on mturks
a person work at a place,a person work at a place of employment,Ed works at his job
a person work at a place,a person work at something,Tom works at Whataburger
a person work at a place,a person work at,Kyle works at a movie theater
a person arrive at work,a person arrive at work,I arrive at work
a person arrive at work,a person arrive to work,I arrive to work
a person go to work,a person go outside to work,Harry went outside to work
a person go to work,a person go outside to work,Harry went outside to work
a person go to work,a person go to a place of work,Walter goes to work
a person go to work,a person be go to work,Gina was going to work.
a person have to go to work,a person have to go into work,She has to go into work
a person have to go to work,a person have to go to work,I have to go to work
a person have work today,a person have work today,I have work today
a person have work today,a person work today,i work today
a person continue work,a person go back to work,Rich went back to work.
a person continue work,a person continue work,Jane continues working
a person dance,a person dance,Fiona dances to the song
a person dance,a person dance,She dances
a person dance,a person dance,Danielle dances
a person dance,a person dance,Sally and her friends dance
a person dance,a person dance,David dances
a person go to a place where dancing happen,a person go to a place where dancing happen,Sally and her friends went to Cochella
a person go to a place where dancing happen,a person go a place dancing,I went out with my friends Friday night
a person start to dance,a person start dance,Nick started to dance
a person start to dance,a person start dance,He started dancing
a person start to dance,a person start dance,David starts dancing
a person start to dance,a person begin dance,Tom begins dancing
a person start to dance,a person begin dance,He began dancing to the music
a person go to dance,a person go to a dance,Stacy goes to the dance
a person go to dance,a person go to a dance,Sara went to the dance
a person go to dance,a person go dancing,They went dancing
a person like to dance,a person like to dance,She likes to dance
a person celebrate something,a person be celebrate an occasion,Karen is celebrating birthday
a person celebrate something,a person celebrate something,we celebrate the superbowl
a person celebrate something,a person celebrate something,Craig celebrates Something
a person celebrate something,a person celebrate something,Maeva celebrates her birthday
a person celebrate something,a person celebrate something,Lexie celebrated Halloween
a person celebrate something,a person celebrate,Billy celebrates
a person celebrate something,a person celebrate,We celebrate the victory
a person celebrate something,a person celebrate,Stephen celebrated
a person celebrate something,a person celebrate,I celebrate
a person celebrate something,a person celebrate,Mike's team celebrates
a person celebrate something,a person celebrate,I celebrate
a person celebrate something,a person be celebrate something,The Super Bowl is the biggest game of the year
a person celebrate something,a person be celebrate something,her friend is celebrating her birthday
a person celebrate something,a person have a celebration,Tom has a birthday party
a person celebrate something,a person have a celebration,Jimmy had a birthday
a person celebrate something,a person have a celebration,Feliciano has a birthday
a person go to a celebration,a person go a celebration,Toby goes to a birthday party
a person run towards a person,a person run toward another person,Tim runs up to where she has fallen
a person run towards a person,a person run to another person,Leah ran to her Dad
a person run towards a person,a person run up to another person,John ran up to his dog and the other dog owner
a person run towards a person,a person run towards another person,The angry mum runs towards him
a person run with a person,a person be run with a person,I was running on the side of a ditch with a couple people
a person run with a person,a person be run with a person,I'm running with a couple people
a person run with a person,a person be run with a person,My friends were running with me
a person run with a person,a person run with a person,I run with some people
a person run something to another person,another person run something to a person,Ken ran the scissors to his friend
a person run something to another person,another person run something over to a person,Ken runs them over to him
a person run into something / someone,a person run into something,He runs into Sam's tower
a person run into something / someone,a person run into something,He runs into the wall
a person run into something / someone,a person run into something,Cory runs into the wall
a person run into something / someone,a person run into another person,Amy runs into her boss
a person run into something / someone,a person run into another person,she ran into an old friend
a person run into something / someone,a person run into another person,she ran into an old friend
a person run into something / someone,a person run into another person,Pam ran into her penpal.
a person run into something / someone,a person run into another person,I ran into this gorgeous girl
a person run into something / someone,a person run into another person,She runs into her boss
a person run into something / someone,a person run into another person,He runs into Sally
a person run into something / someone,a person run into another person,I ran into a gorgeous girl
a person drink,a person drink,Amy drinks
a person drink,a person drink,John drinks
a person drink,a person drink,The friends drink
a person drink,a person drink,Pam drinks
a person drink,a person drink,Tina drinks
a person drink,a person drink,The old man drinks
a person drink,a person drink a beverage,I drink coffee
a person drink,a person drink a beverage,Stanley drinks lemonade
a person drink,a person drink a beverage,Karen drinks juice
a person drink,a person drink a beverage,Jimmy's dad drinks coffee
a person drink,a person drink a beverage,Stanley drinks a lemonade
a person drink,a person drink a beverage,His dad drinks coffee
a person drink,a person drink a beverage,Donald drinks tea
a person drink,a person drink a beverage,Stanley drinks some lemonade
a person drink,a person drink a beverage,Donald was drinking tea
a person drink,a person drink another thing,i drank the beer
a person drink,a person drink drink,Jim drank seven beers and three shots across two hours
a person drink,a person be drink,they are drinking
a person drink,a person be drink a beverage,Billy was drinking punch
a person drink,a person be drink a beverage,Donald was drinking tea
a person drink,a person be drink something,Jan is drinking soda
a person drink,a person be drink something,Maria is drinking coffee
a person drink,a person be drink something,I was drinking my coffee
a person drink,a person be drink something,She is drinking coffee
a person drink,a person be drink something,Tom was drinking apple juice.
a person drink,a person drink a drink,I drink the milk
a person drink,a person have drink,I had a few drinks
a person drink,a person have a drink,The man has beer
a person drink,a person drink another thing liquid,Jim drank ocean water
a person drink,a person have something drink,i had a few drinks
a person drink,a person sip a drink,I sip the coffee
a person want a drink,a person want a beverage,The man wanted beer
a person want a drink,a person want a drink,Stanley wants a drink
a person take a drink,a person take a drink of a beverage,Maria took a drink of coffee
a person take a drink,a person take a drink of a beverage,Maria took a drink of coffee
a person take a drink,a person take a drink,Rich took a drink.
a person need something to drink,a person need something to drink,I needed Something to drink
a person need something to drink,a person need something drinkable,Travis needs extra water
a person try a drink,a person try a drink,Mike tries white wine
a person try a drink,a person try drink something,Mike tries drinking wine
a person try a drink,a person try drink a beverage,Emily tries drinking grape juice
a person pour a drink,a person pour a drink,She pours a drink
a person pour a drink,a person pour a drink,She pours sweet soda to drink
a person be happy,another person be happy,Kate is happy
a person be happy,another person be happy,the pony was happy
a person be happy,another person be happy,Lucretia is happy
a person be happy,another person be happy,he is happy
a person be happy,another person be happy,Josie is happy
a person be happy,another person be happy,He is happy
a person be happy,another person be happy,his mother was happy
a person be happy,another person be happy,kim is happy
a person be happy,another person be happy,Michelle's was happy
a person be happy,another person be happy,He is happy
a person be happy,another person be happy,the wife is happy
a person be happy,another person be happy,Lucy is happy
a person be happy,another person be happy,Beth is so happy
a person be happy,another person be happy,She is happy
a person be happy,another person be happy,Madison is happy
a person be happy,another person be happy,The boy Is Happy
a person be happy,another person be happy,Matt is happy
a person be happy,another person be happy,she was happy
a person be happy,another person be happy,Grandma is happy
a person be happy,another person be happy,The wife was happy
a person be happy,another person be happy,Spray is very happy to have a trip to the beach
a person be happy,another person be happy,My dog is happy
a person be happy,another person be happy,Kristin is happy
a person be happy,another person be happy,The boy is very happy with his gifts
a person be happy,another person be happy,i was happy
a person be happy,another person be happy,His niece Was Happy
a person be happy,another person be happy,the dog is happy
a person be happy,another person be happy,Carl's wife is happy
a person be happy,another person be happy,Lucy is happy
a person be happy,another person be happy,Jodie was happy
a person be happy,another person be happy,Susie is happy
a person be happy,another person be happy,Sarah's kid is happy
a person be happy,another person be happy,His grandma is happy
a person be happy,another person be happy,I am happy
a person be happy,another person be happy,she is happy
a person be happy,another person be happy,Beth is happy
a person be happy,a person be happy with another thing,Lester is happy with his weight loss
a person be happy,another person cheer up and be happy,The pony cheered up and was happy
a person be happy,another person be happy to have something,She is happy to have her lunch
a person be happy,another person be happy to have something,Nicole is happy to have the lunch
a person be happy,another person be so happy,The kid is so happy
a person be happy,another person be so happy,Jen was so happy
a person be happy,a person be another thing happy,Mrs Garcia is happy to have a second bathroom again
a person be happy,a person be now another thing happy,Nancy is happy that she is no longer with her ex husband
a person be happy,another person be happy to come,She is happy next to come
a person be happy,another person be very happy,She is very happy
a person be happy,another person be very happy,Ted is very happy
a person be happy,another person stay happy,Connor stays happy
a person and another person be happy,a person and another person feel happy,The parents feel happy
a person be happy with another person,a person be happy with another person,Fran is happier with her new friend
a person be happy with another person,a person be happy with another person,Fran is happier with her new friend
a person be happy with another person,a person be much happy with another person,She is much happier with her one new friend
a person be alone,another person be alone,I am alone and I open up the dvd
a person be alone,another person be alone,Cindy is alone
a person be alone,another person be alone,Jessica is alone
a person be alone,a person be alone,Boy is alone
a person be alone,a person be alone,I was alone
a person be alone,a person be alone,He is alone
a person be alone,a person be alone,Sam is alone
a person be alone,a person be alone,Harold was often alone
a person be alone,a person be alone,Cindy was alone
a person be alone,a person be alone,Sam is alone
a person be alone,a person be alone,David was alone
a person be alone,a person be alone,Ed is on vacation alone
a person be alone,a person be alone,cindy was alone
a person be alone,a person be alone,There was no one in sight
a person be alone,a person be alone,Tim is lonely
a person be alone,a person be alone,Davis is at cabin
a person be alone,a person be alone,David is alone
a person be alone,a person be alone in a place,The boy was home alone
a person be alone,a person be alone in a place,Charlie is alone in his parent's home
a person be alone,a person be at a place alone,Gina was home alone
a person be alone,a person be completely alone,It was Christmas Eve.
a person be alone,a person be alone at a place,Gina is home alone
a person be alone,a person be there alone,It was a sunny day but no one else was present.
a person go to a place alone,a person go out to somewhere alone,Kent went out to play alone
a person go to a place alone,a person go a place alone,Ed went on a vacation alone
a person go to a place alone,a person go alone,Ed is going on vacation
a person go to a place alone,a person go alone,Ed was going on vacation to Florida
a person live alone,a person live alone,The woman lived alone
a person live alone,a person live alone,Hazel Live Alone
a person live alone,a person live alone,Ethel lives alone
a person live alone,a person live alone,the woma lived alone
a person live alone,a person live alone,Sam lives alone
a person be cook something edible,a person cook something edible,Tom cooks fish
a person be cook something edible,a person cook something edible,John cooked the pancakes
a person be cook something edible,a person cook something edible,I cooked chicken
a person be cook something edible,a person cook something edible,Kathy's friends cooked a casserole
a person be cook something edible,a person be cook something edible,Tim was cooking pasta
a person be cook something edible,a person be cook something edible,Kate was cooking food
a person be cook something edible,a person be cook something,Betty is cooking pie
a person be cook something edible,a person be cook something,Tim was cooking a pasta
a person be cook something edible,a person make something delicious and edible,Amy made candies
a person be cook something edible,a person cook and eat food,Fred cooks and eats the spaghetti
a person be cook something edible,a person be make an edible dish,Susan was making a soup
a person be cook something edible,a person cook tasty food,Kay's grandmother's sister cooks tasty food
a person be cook something edible,a person cook something tasty,Jake cooks
a person be cook something edible,a person cook something tasty,I cook a good meal
a person be cook something edible,a person be cook food,They are cooking food
a person be cook something edible,a person cook for something,I cook for a party
a person be cook something edible,a person make a meal with another thing edible,Andres makes amazing things with rice
a person arrive late,a person arrive late,Tom arrives late
a person arrive late,a person arrive late to a place,He arrives late to work
a person be late,a person be late for an obligation,Anna is late for her job
a person be late,a person be late to something,He is late to the date
a person be late,a person be late to something,He is late to work
a person be late,a person come a place late,My wife comes home late
a person be late,a person come a place late,Kate came home late
a person be late,a person be at a place late,Martha was at work late
a person be late,a person be run late for something,He is running late for his date
a person be late,a person be run late for something,He is running late for a date
a person be late,a person be something late,Tom was late
a person be late,a person be something late,Anne is late for work
a person be late,a person show up late to another place,john shows up late to the voting location
a person be late,a person be late because of something,I was late because of an accident
a person be late,a person be late for another thing,tom is late for work
a person be late,a person be late for another thing,She is late for school
a person be late,a person on something be late,Schmidt was very late for work
a person be going to be late,a person be go to be late,Irene is going to be late
a person be going to be late,a person be go to be late,Sam is going to be late
a person be going to be late,a person be go to be late to a place,Lacy was going to be late to the bus
a person walk another person to a place,another person walk a person to a place,Her mom walked her to her bedroom
a person walk another person to a place,another person walk a person to a place,He walks her home
a person and another person walk to a place,a person and another person walk around a place,Chrisana and her niece walk around the block
a person and another person walk to a place,a person and another person walk around a place,Chrisana and her niece walk around the block
a person and another person walk to a place,a person and another person walk around a place,Gina and Lisa walked around the mall
a person and another person walk to a place,a person and another person walk around a place,Jim and Gil walk outside
a person and another person walk to a place,a person and another person walk around a place,Joey and Tom walk outside
a person and another person walk to a place,a person and another person walk to something,we walked to car
a person and another person walk to a place,a person and another person walk to another place,We walk to Chinatown
a person and another person walk to a place,a person and another person walk by a place,Tom and Sarah walk by a yard having free kittens
a person and another person walk to a place,a person and another person walk through a place,My friend and I walk through the wooded area
a person and another person walk to a place,a person and another person walk to a place instead,They walk to the theater instead
a person and another person walk to a place,a person and another person walk along a place,Chester and his girlfriend walk along the beach
a person and another person walk to a place,a person and another person walk up a place,John and Jane walk up a hill
a person walk to a place,a person be walk through another person 's location,Mark ia walking through the park
a person walk to a place,another person walk to a place,John walked to work
a person walk to a place,another person walk to a place,Hannah walks to the garbage
a person walk to a place,a person walk to a place of another thing,We walk to the back of the zoo
a person walk to a place,a person be walk in a place near another person,Alicia was walking in the park near Fred
a person walk to a place,a person walk to another place,rob walk to school
a person walk to a place,a person walk from a place down to another place,Jamie walked from her house down to the beach
a person walk to a place,a person walk from a place to another place,Rowan walks toward home from school
a person walk to another person,a person walk to another person,The man walked to Jessica
a person walk to another person,a person walk to another person,Cade walks to mom
a person walk to another person,a person walk to another person,cade walks to mom
a person walk to another person,a person walk over to another person,Mikes walks over to the woman
a person start to walk to another place,a person begin walk to another place from another place,i began walking home from my friends house
a person start to walk to another place,a person start walk to another place,A man starts walking to the bridge
a person start to walk to another place,a person walk into another person 's location,She walks into the classroom
a person go to a place for holiday,a person go a place for a holiday,Jay went to a friends house for Christmas
a person go to a place for holiday,a person go to a place for a holiday,Jay went to his friend's house for Christmas
a person go to a place for holiday,a person go home for a holiday,Marsha goes home for Christmas
a person go to a place for holiday,a person go home for a holiday,Marsha went home for Christmas
a person go to a place for holiday,a person go on a holiday,My family went among a vacation
a person go to a place for holiday,a person go on a holiday,The old man went on vacation
a person go to a place for holiday,a person be at a place for a holiday,Tom was at a bar for a holiday
a person go to a place for holiday,a person be on a holiday,Laura was on vacation
a person go to a place for holiday,a person be on a holiday,Elmer and his family were on vacation
a person visit a person for the holiday,a person be visit a person for the holiday,Carol is visiting her family for the holidays
a person be celebrate a holiday,a person be celebrate a holiday,The family was celebrating the 4th of July
a person be celebrate a holiday,a person be celebrate the holiday,Abby is celebrating Halloween
a person be celebrate a holiday,a person go to many place around a holiday,We go to many events around Christmas
a person watch another person 's pet,a person be watch the pet animal of another person,Mark is watching Debbie's dog Ralf
a person watch another person 's pet,another person check on a person 's pet,Bob's friend checks on Bob's dogs
a person watch another person 's pet,another person check on a person 's pet,Someone checks on Bob's dogs
a person watch another person 's pet,another person watch a person 's pet,He watches her dog
a person watch another person 's pet,a person watch a pet for another person,Mark watches Ralf
a person watch another person 's pet,a person see another person 's pet,My sister saw a friend's pet
a person meet another person 's pet,another person get to meet a person 's pet,I got to meet Rachel's kitty
a person meet another person 's pet,a person meet another person 's pet,I met Sarah's kitty
a person teach another person to do something,a person teach another person to do something,Dad teaches his son to shave
a person teach another person to do something,a person teach another person to do something,My dad taught me to fish
a person teach another person to do something,a person teach another person to do something,India is teaching her daughter
a person teach another person to do something,a person teach another person to do something,The dad taught his son to shave
a person teach another person to do something,another person teach a person to do something,India taught her daughter to color
a person learn about another person,a person learn about another person,tara learned about malcolm x
a person learn something from another person,a person learn from another person,Lauren husband learns from her
a person learn something from another person,a person learn another thing from something,Amy learns Something from youtube
a person learn something from another person,a person learn from another thing,I learned from my mistakes
a person learn something from another person,another person learn something from a person,Drew learned there was a large assembly and a party at school
a person teach another person something,another person teach a person something,Galen's father teaches Galen how to sail
a person teach another person something,another person teach a person something,Amy teaches Horace how to make rice
a person teach another person something,a person teach another person something,Ryan's dad teaches ryan batting
a person teach another person something,a person teach another person something,Ryan's dad teaches Ryan baseball
a person teach another person something,a person teach another person something,Jane's grandmother teaches Jane family recipes
a person teach another person something,a person teach another person something,I teach my son how to order food
a person teach another person something,a person teach something to another person,I taught the first three letters to my son
a person teach another person something,a person teach something to another person,Grandchild teaches game to Grandmother
a person teach another person something,a person teach something to another person,Amy teaches Horace to make rice
a person teach another person something,a person teach something to another person,Carl's coach teaches him to be a back row hitter
a person teach another person something,another person teach a person to do something,I teach him to park
a person teach another person something,another person teach a person about something,Her dad teaches Mikayla how to ride a bike
a person teach another person something,a person teach another person a skill,Amy teaches Horace each step to making delicious rice
a person teach another person something,another person teach something to a person,I teach it to him
a person teach another person something,another person teach a person,Rita taught Amy
a person teach another person something,another person teach a person,The tutor teaches Bob
a person and another person learn to do something,a person and another person learn to something,Joe and I learn to ride a unicycle
a person and another person learn to do something,a person and another person learn to do something,Joe and I learn to ride a unicycle
a person 's pet die,a person 's pet die,My goldfish dies
a person 's pet die,a person 's pet die,Her goldfish die
a person 's pet die,a person 's pet die,Daniel's pet died
a person 's pet die,a person 's pet die,Daniel's pet mouse dies
a person 's pet die,a person 's pet die,Jimmy's dog dies
a person 's pet die,a person 's pet die,My pet rabbit dies
a person 's pet die,a person 's pet die,Dan's pet mouse died
a person 's pet die,a person 's pet die,Paige's goldfish dies
a person 's pet die,a person 's pet die,Laura's mom's cat dies
a person 's pet die,a person 's pet die,Jimmy's dog dies
a person 's pet die,a person 's pet die,My rabbit died
a person 's pet die,a person 's pet pass away,Jimmy's dog passed away
a person 's pet die,a person 's pet pass away,Daniel's pet mouse passed away
a person 's pet die,a person 's pet pass away,Tina's dog passes away
a person 's pet die,a person 's pet pass away,The dog passes away
a person 's pet die,a person 's pet pass away,Barry's dog passes away
a person 's pet die,a person 's pet pass away,One of Tina's dogs passed away
a person 's pet die,a person 's pet end up pass away,Jingles ended up passing away
a person lose a pet,a person lose a pet,A woman lost her cat
a person lose a pet,a person lose a pet,They lost lollipop
a person lose a pet,a person lose a pet,Suzy lost her cat
a person lose a pet,a person lose a pet,The boy loses his puppy
a person lose a pet,a person lose a pet,John lost his dog
a person lose a pet,a person lose a pet,Susie lost her puppy
a person lose a pet,a person lose a pet,Brad lost his dog at the park
a person lose a pet,a person lose a pet,Susie loses her puppy
a person lose a pet,a person lose a pet animal,Barry lost his dog
a person lose a pet,a person lose a pet animal,Karen lost her dog
a person lose a pet,a person lose a pet animal,I lost my dog
a person lose a pet,a person lose a pet animal,Karen lost her dog
a person lose a pet,a person lose a pet animal,I lost my dog
a person lose a pet,a person lose a person 's pet,Tina lost her dog
a person lose a pet,a person lose a person 's pet,Suzy lost her cat
a person lose a pet,a person 's pet disappear,John's dog disappears
a person lose a pet,a person 's pet get lose,his dog gets lost
a person need to call another person,a person need to call another person,Judy needs to call her mom
a person need to call another person,another person need to call a person,Judy needed to call her Mom
a person get a call from another person,a person get a call from another person,Betty got a call from an old friend
a person get a call from another person,a person get a call from another person,Joe gets a call from a guy
a person get a call from another person,a person get a call from another person,She got a call from a grumpy old man
a person get a call from another person,a person get a call from another person,Someone got a call from their friend
a person get a call from another person,a person get a call from another person,She gets a call from him
a person get a call from another person,a person receive a phone call from another person,Karen received a phone call from her boss
a person call another person,a person call for another person,John alertly called for his father
a person call another person,a person call for another person,John calls for his father
a person call another person,a person call for another person,John called for his father
a person call another person,a person call to another person,Gina's mom calls to her
a person call another person,a person call to another person,mother calls to Becky
a person call another person,a person call to talk to another person,my grandparents called to talk to my mum
a person call another person,another person get on a phone to call for another thing,He gets on his phone to call an Uber
a person call another person,another person be call,My ex girlfriend was calling
a person have a sport event,a person have a sport game,Randy had a football game
a person have a sport event,a person have a sport game,He has a baseball game
a person have a sport event,a person have a sport game,Greg has a soccer game
a person have a sport event,a person have a sport event,Joe has basketball practice
a person have a sport event,a person have a a sport event,Randy had a football game
a person have a sport event,a person have a a sport event,Randy has a football game
a person be on a sport team,a person be on a sport team,Anna is good at basketball
a person be on a sport team,a person be on a sport team,Jeff is on the basketball team
a person be on a sport team,a person be on a sport team,she is on the volleyball team
a person be on a sport team,a person be on a sport team,She is on the volleyball team
a person be on a sport team,a person be on a sport team,Anna is on the basketball team
a person be on a sport team,a person be on the sport 's team,Sam is on the basketball team
a person play a sport,a person play a sport,Sarah plays tennis
a person play a sport,a person play a sport,John played frisbee
a person play a sport,a person play a sport,He plays basketball
a person play a sport,a person play a sport,Andy plays football
a person play a sport,a person play a sport,My son played little league
a person play a sport,a person play a sport,He plays volleyball
a person play a sport,a person play a sport,My son played hockey in 1st grade
a person play a sport,a person play a sport,My friend plays football
a person play a sport,a person play a sport,Ariel plays baseball
a person play a sport,a person play a sport,Anna plays tennis
a person play a sport,a person play a sport,Randy plays basketball
a person play a sport,a person play a sport,Tim plays basketball
a person play a sport,a person play a sport,Randy plays basketball
a person play a sport,a person play a sport,Andy plays football
a person play a sport,a person play a sport,Tim played basketball
a person play a sport,a person play a sport,I played soccer
a person play a sport,a person play a sport,She plays volleyball
a person play a sport,a person play a sport,Tim's friends played baseball
a person play a sport,a person play a sport,I play football
a person play a sport,a person play a sport,His brother plays baseball
a person play a sport,a person play a sport,Berry plays basketball
a person play a sport,a person play a sport,We play a game
a person play a sport,a person play a sport,He plays basketball
a person play a sport,a person play a sport,Tom plays baseball
a person play a sport,a person play a sport,Greg plays soccer
a person play a sport,a person play a sport,Dominick plays kick ball
a person play a sport,a person play a sport,Missy plays ball
a person play a sport,a person play in a sport,Fred played during a basketball game
a person play a sport,a person play in a sport,Tim played in a football game
a person play a sport,a person play in a a sport of a sport,Jordan plays in a soccer game today
a person play a sport,a person participate in a sport event,Alexis participates in a gymnastics meet
a person play a sport,a person be play a game of a sport,Eight boys were playing a game of basketball
a person play a sport,a person play in sport game,Jordyn played in a soccer game
a person play a sport,a person play a team sport,i play in a high school basketball game
a person try a sport,a person try sport,my son tried some sports
a person try a sport,a person try out a sport,He tries out jump roping
a person practice a sport,a person practice for a sport,Ana practices for basketball
a person go to play a sport,a person go to play a sport,Anna went outside to play tennis
a person go to play a sport,a person go for a sport activity,James goes for a run
a person play in a sport competition,a person play a competition,Ben was playing sports
a person play in a sport competition,a person play a competition,Joe's favored team plays a sports game
a person play in a sport competition,a person play in an athletic competition,Berry plays in a basketball game
a person play in a sport competition,a person be play in a competition,I was playing in a basketball game
a person play in a sport competition,a person play in a sport competition,Tim plays in a soccer game
a person love spend time with another person,a person love spending time with another person,I love spending my days with grandpa
a person love spend time with another person,a person love spending time with another person,he loved spending time with his son
a person love spend time with another person,a person love time spend with another person,he loves time spent with his sone
a person fall in love with another person,another person fall in love with a person,Sam falls in love with the boy
a person fall in love with another person,a person and another person fall in love with each other,Andy and Caroline fall in love with each other
a person fall in love with another person,another person fall in love with something,My mom fell in love with the bird
a person love being with a person,a person love be with another person,Alex loved spending time with his grandpa
a person participate in a competition,a person participate in a competition,Tanya participates in a race
a person participate in a competition,a person participate in a competition,Cory participates in a track meet
a person participate in a competition,a person participate in something competitive,Chelsea participates in a competitive race
a person participate in a competition,a person participate in something competetive,Tom participates in fight
a person compete in something,a person compete,Alexis competes
a person compete in something,a person compete,Joan competes
a person compete in something,a person compete in a competition,They compete to go the highest
a person compete in something,a person compete in a competition,Joan competes in a chess tournament
a person compete in something,a person compete in a competition,Matt competes in an archery competition
a person compete in something,a person compete in something,She competes in a gymnastics meet
a person compete in something,a person go on a competition,Alexia and her friends went on a gameshow
a person be ready for a competition,a person be ready for a competition,Terry was ready for the big game
a person be ready for a competition,a person be ready for a competition,Terry is ready for it
a person be ready for a competition,a person be ready for competition_a,She is ready for the race
a person be at a competition,a person be in a competition,Nate was in a race
a person be at a competition,a person be in a competition,Tom is in a hard fight
a person be at a competition,a person be in a competition,Sam was in a race
a person be at a competition,a person be at a competition,Marissa is not sure how to spell her next word
a person be at a competition,a person be at something competitive,Sam was at a basketball game
a person be competitive,a person be competitive,Carla and Sam are competitive
a person be competitive,a person get competitive,he gets competitive
a person be competitive,a person get competitive,Kyle gets competitive
a person have a competition,a person have a contest,kate had a contest
a person have a competition,a person have a competition,Howard had his first baseball game
a person have a competition,a person have a competition,Cory has a track meet
a person have a competition,a person have a competition,Cory has his first track meet
a person have a competition,a person have a competition,Tim has his first race
a person want to compete in something,a person want to compete in something,joan wanted to compete in a chess tournament
a person want to compete in something,a person want to compete in something,lee wanted to compete in a race
a person want to compete in something,a person want to compete in a competition,Lee wanted to compete in a race
a person want to compete in something,a person want to compete in a competition,Lee wanted to compete in a race
a person enter a competition,a person enter into a competition,Sam entered into a race
a person enter a competition,a person enter into a competition,Tay entered into a race
a person compete against another person,a person be compete against another person in a competition,Chelsea is competing in a race
a person get a new something,a person get a new something,The boy got a new ball
a person get a new something,a person get a new something,I got an ipad
a person get a new something,a person get a new something,The bus driver gets a new bus
a person get a new something,a person get a new something,Tom gets a new toy
a person get a new something,a person get a new something,I got another watch for Christmas
a person get a new something,a person get a new something,Jim got a new hat
a person get a new something,a person get a new something,The man gets a new pitcher
a person get a new something,a person get a new something,she got a new swimsuit
a person get a new something,a person get a new something,James gets new glasses
a person get a new something,a person get a new something,Carmen gets a flat tire
a person get a new something,a person get a new something,Carl gets a new phone
a person get a new something,a person get a new something,Cindy got a new toy
a person get a new something,a person get a new something,I got a new rooster
a person get a new something,a person get a new something,Trevor got a new house
a person get a new something,a person get a new one,He gets a new one
a person get a new something,a person get a new another thing,Wine got all over Matt's shirt
a person go to an event,a person go to an event,Linda and Gina went to a craft show
a person go to an event,a person go to an event,Jacob went to a bris
a person go to an event,a person go to an event,I went to the paty and enjoyed myslf
a person go to an event,a person go to an event,Jane went to a movie
a person go to an event,a person go to an event,Craig and his son go to a pizza party
a person go to an event,a person go to an event,Charlie went to the food truck event
a person go to an event,a person go to an event,Blake goes to a party
a person go to an event,a person go to an event,Charlie went to the food truck event
a person go to an event,a person go to an event,Nathan went to a birthday party
a person go to an event,a person go to an event,Joey is going to a baseball game
a person go to an event,a person go to an event,Billy goes to the dance
a person go to an event,a person go to an event,He goes to a hockey game
a person go to an event,a person go to an event,Hana went to a picnic
a person go to an event,a person go to an event,They go to Coachella
a person go to an event,a person go to an event,I go to a barbecue
a person go to an event,a person go to an event,Nate went to the movies
a person go to an event,a person go to an event,Caerter goes to a party
a person go to an event,a person be go to an event,Sam is going to a wedding
a person go to an event,a person be go to an event,They are going to the football game
a person go to an event,a person be go to an event,Sam is going to a wedding
a person go to an event,a person be go to an event,Sarah is going to the game
a person go to an event,a person go to the event,The Smiths went on a family picnic
a person go to an event,a person go an event,The family went next to the horse track
a person go to an event,a person go an event,I went to the event
a person have an event,a person be have an event,My friend was having a dinner party
a person have an event,a person be have an event,Rita is having a birthday party
a person have an event,a person be have an event,Sam is having a sleepover
a person have an event,a person be have an event,Bonnie was having a tea party
a person have an event,a person have an event,Greg has a soccer game
a person have an event,a person have an event,My friend's child had a party
a person have an event,a person have an event,Jan has a big party
a person have an event,a person have an event,Rita has a birthday party
a person have an event,a person have an event,The man had a date
a person attend an event,a person attend an event,Nathan attends a birthday party
a person attend an event,a person attend an event,Franny and her family attend the state fair
a person attend an event,a person attend an event,Tom attends a summer basketball camp
a person attend an event,a person show up for an event,Dozens of people showed up for Art's party
a person attend an event,a person come to an event,Her friends come to the party
a person attend an event,a person arrive at an event,All the guests arrived on time
a person attend an event,a person arrive at an event,They arrive at the party
a person attend an event,a person make an appearance at an event,Amy makes an appearance at the party
a person eat a lot of some food,a person eat a lot of something,His son ate a lot of pizza
a person eat a lot of some food,a person eat a lot of something,Jeff ate a lot of cucumbers
a person eat a lot of some food,a person eat a lot of something,I eat a lot of chocolate
a person eat a lot of some food,a person eat a lot of something,Jeff ate a lot of cucumbers
